Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;811235
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 1;Passeio;917483
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;368713
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 1;Passeio;436955
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;234157
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 1;Passeio;287420
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;169688
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 1;Passeio;218641
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;164348
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 1;Passeio;205173
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;148134
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 1;Passeio;186129
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;148042
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 1;Passeio;182868
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;175907
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 1;Passeio;205778
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;58328
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 2;Comercial;56523
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;43185
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 2;Comercial;43540
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;30853
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 2;Comercial;31172
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;23417
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 2;Comercial;25659
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;22289
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 2;Comercial;22895
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;20139
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 2;Comercial;22591
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;21043
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 2;Comercial;21919
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;21631
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 2;Comercial;23484
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;2007
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 3;Passeio;2220
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1550
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 3;Passeio;1916
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1162
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 3;Passeio;1493
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;1118
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 3;Passeio;1412
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;1066
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 3;Passeio;1352
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;1039
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 3;Passeio;1218
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;929
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 3;Passeio;1321
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1173
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 08 BR-381/MG km 546;Categoria 3;Passeio;1332
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;35192
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80;Categoria 4;Comercial;38643
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 02 BR-381/SP km 7,30;Categoria 4;Comercial;36816
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 02 BR-381/SP km 7,30;Categoria 4;Comercial;36739
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 03 BR-381/MG km 902,63;Categoria 4;Comercial;31401
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 03 BR-381/MG km 902,63;Categoria 4;Comercial;30711
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 04 BR-381/MG km 804,88;Categoria 4;Comercial;30725
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 04 BR-381/MG km 804,88;Categoria 4;Comercial;28473
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 05 BR-381/MG km 733,74;Categoria 4;Comercial;30917
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 05 BR-381/MG km 733,74;Categoria 4;Comercial;27926
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 06 BR-381/MG km 659;Categoria 4;Comercial;26930
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 06 BR-381/MG km 659;Categoria 4;Comercial;26196
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 07 BR-381/MG km 596,935;Categoria 4;Comercial;25133
AUTOPISTA FERNÃO DIAS;01/01/2023;Decrescente;Praça 07 BR-381/MG km 596,935;Categoria 4;Comercial;24896
AUTOPISTA FERNÃO DIAS;01/01/2023;Crescente;Praça 08 BR-381/MG km 546;Categoria 4;Comercial;26468
